Date;Close;High;Low;Open
2020-01-02;840.0;850.0;825.0;845.0
2020-01-03;850.0;850.0;840.0;845.0
2020-01-06;885.0;890.0;855.0;860.0
2020-01-07;875.0;895.0;865.0;885.0
2020-01-08;905.0;920.0;890.0;895.0
2020-01-09;880.0;900.0;875.0;895.0
2020-01-10;885.0;885.0;865.0;880.0
2020-01-13;870.0;890.0;870.0;885.0
2020-01-14;850.0;870.0;845.0;870.0
2020-01-15;835.0;865.0;830.0;850.0
2020-01-16;845.0;860.0;840.0;850.0
2020-01-17;840.0;845.0;835.0;840.0
2020-01-20;795.0;850.0;785.0;840.0
2020-01-21;795.0;810.0;780.0;795.0
2020-01-22;770.0;805.0;755.0;800.0
2020-01-23;780.0;790.0;765.0;785.0
2020-01-24;785.0;790.0;775.0;780.0
2020-01-27;750.0;790.0;745.0;790.0
2020-01-28;750.0;760.0;730.0;750.0
2020-01-29;750.0;765.0;750.0;760.0
2020-01-30;740.0;760.0;740.0;750.0
2020-01-31;720.0;745.0;715.0;745.0
2020-02-03;715.0;730.0;705.0;725.0
2020-02-04;730.0;735.0;715.0;725.0
2020-02-05;725.0;735.0;715.0;730.0
2020-02-06;735.0;735.0;715.0;730.0
2020-02-07;730.0;740.0;720.0;730.0
2020-02-10;720.0;750.0;710.0;750.0
2020-02-11;720.0;730.0;715.0;730.0
2020-02-12;715.0;725.0;705.0;720.0
2020-02-13;680.0;720.0;680.0;715.0
2020-02-14;675.0;690.0;665.0;680.0
2020-02-17;680.0;690.0;670.0;675.0
2020-02-18;690.0;705.0;675.0;680.0
2020-02-19;705.0;720.0;700.0;700.0
2020-02-20;710.0;720.0;705.0;710.0
2020-02-21;700.0;715.0;695.0;715.0
2020-02-24;685.0;715.0;680.0;710.0
2020-02-25;660.0;685.0;655.0;685.0
2020-02-26;630.0;660.0;630.0;650.0
2020-02-27;600.0;650.0;595.0;630.0
2020-02-28;575.0;590.0;540.0;590.0
2020-03-02;585.0;600.0;570.0;580.0
2020-03-03;615.0;620.0;595.0;600.0
2020-03-04;630.0;635.0;610.0;615.0
2020-03-05;630.0;650.0;625.0;635.0
2020-03-06;610.0;630.0;605.0;625.0
2020-03-09;555.0;590.0;550.0;590.0
2020-03-10;575.0;585.0;555.0;555.0
2020-03-11;540.0;585.0;530.0;580.0
2020-03-12;490.0;520.0;488.0;520.0
2020-03-13;478.0;490.0;456.0;470.0
2020-03-16;446.0;474.0;446.0;474.0
2020-03-17;416.0;446.0;416.0;446.0
2020-03-18;388.0;410.0;388.0;398.0
2020-03-19;362.0;364.0;362.0;362.0
2020-03-20;374.0;386.0;338.0;360.0
2020-03-23;348.0;370.0;348.0;370.0
2020-03-24;364.0;374.0;340.0;348.0
2020-03-26;416.0;432.0;366.0;366.0
2020-03-27;460.0;505.0;426.0;432.0
2020-03-30;432.0;460.0;428.0;450.0
2020-03-31;450.0;464.0;434.0;440.0
2020-04-01;436.0;462.0;434.0;450.0
2020-04-02;452.0;454.0;424.0;436.0
2020-04-03;464.0;472.0;450.0;458.0
2020-04-06;540.0;540.0;466.0;466.0
2020-04-07;555.0;590.0;520.0;580.0
2020-04-08;520.0;555.0;520.0;555.0
2020-04-09;520.0;540.0;492.0;510.0
2020-04-13;535.0;555.0;510.0;520.0
2020-04-14;555.0;560.0;540.0;550.0
2020-04-15;525.0;565.0;525.0;560.0
2020-04-16;505.0;535.0;494.0;535.0
2020-04-17;520.0;530.0;500.0;520.0
2020-04-20;500.0;520.0;496.0;515.0
2020-04-21;482.0;500.0;476.0;500.0
2020-04-22;492.0;496.0;466.0;476.0
2020-04-23;498.0;505.0;490.0;500.0
2020-04-24;494.0;515.0;486.0;496.0
2020-04-27;505.0;510.0;494.0;494.0
2020-04-28;492.0;510.0;490.0;505.0
2020-04-29;498.0;500.0;492.0;492.0
2020-04-30;510.0;525.0;500.0;500.0
2020-05-04;494.0;505.0;484.0;490.0
2020-05-05;500.0;505.0;494.0;500.0
2020-05-06;500.0;510.0;498.0;505.0
2020-05-08;535.0;540.0;500.0;505.0
2020-05-11;530.0;555.0;530.0;545.0
2020-05-12;515.0;530.0;510.0;525.0
2020-05-13;535.0;540.0;505.0;515.0
2020-05-14;515.0;550.0;510.0;530.0
2020-05-15;520.0;530.0;505.0;525.0
2020-05-18;525.0;535.0;520.0;525.0
2020-05-19;525.0;545.0;525.0;535.0
2020-05-20;520.0;535.0;510.0;530.0
2020-05-26;530.0;530.0;515.0;530.0
2020-05-27;520.0;535.0;515.0;530.0
2020-05-28;525.0;540.0;515.0;520.0
2020-05-29;535.0;535.0;520.0;525.0
2020-06-02;555.0;570.0;535.0;540.0
2020-06-03;555.0;580.0;545.0;565.0
2020-06-04;570.0;590.0;550.0;565.0
2020-06-05;590.0;600.0;575.0;575.0
2020-06-08;630.0;645.0;595.0;595.0
2020-06-09;610.0;650.0;605.0;640.0
2020-06-10;595.0;620.0;580.0;615.0
2020-06-11;580.0;605.0;570.0;600.0
2020-06-12;580.0;580.0;545.0;560.0
2020-06-15;565.0;595.0;560.0;585.0
2020-06-16;610.0;610.0;570.0;575.0
2020-06-17;635.0;645.0;605.0;620.0
2020-06-18;620.0;640.0;620.0;625.0
2020-06-19;610.0;630.0;605.0;625.0
2020-06-22;605.0;625.0;600.0;610.0
2020-06-23;595.0;615.0;590.0;600.0
2020-06-24;605.0;620.0;600.0;605.0
2020-06-25;600.0;605.0;595.0;595.0
2020-06-26;605.0;615.0;605.0;610.0
2020-06-29;595.0;610.0;595.0;610.0
2020-06-30;605.0;610.0;595.0;605.0
2020-07-01;600.0;615.0;595.0;610.0
2020-07-02;610.0;610.0;590.0;600.0
2020-07-03;600.0;615.0;600.0;615.0
2020-07-06;640.0;640.0;600.0;605.0
2020-07-07;650.0;670.0;640.0;645.0
2020-07-08;660.0;675.0;645.0;650.0
2020-07-09;650.0;670.0;650.0;660.0
2020-07-10;645.0;665.0;640.0;650.0
2020-07-13;675.0;685.0;645.0;645.0
2020-07-14;660.0;680.0;660.0;670.0
2020-07-15;655.0;675.0;655.0;665.0
2020-07-16;650.0;665.0;650.0;655.0
2020-07-17;660.0;660.0;645.0;655.0
2020-07-20;650.0;665.0;650.0;660.0
2020-07-21;685.0;690.0;650.0;655.0
2020-07-22;685.0;705.0;685.0;690.0
2020-07-23;690.0;705.0;685.0;695.0
2020-07-24;685.0;705.0;685.0;705.0
2020-07-27;725.0;725.0;690.0;695.0
2020-07-28;720.0;755.0;715.0;730.0
2020-07-29;730.0;740.0;710.0;720.0
2020-07-30;730.0;740.0;720.0;730.0
2020-08-03;700.0;750.0;680.0;740.0
2020-08-04;705.0;715.0;700.0;700.0
2020-08-05;750.0;750.0;715.0;730.0
2020-08-06;835.0;840.0;755.0;765.0
2020-08-07;840.0;865.0;835.0;840.0
2020-08-10;825.0;840.0;800.0;840.0
2020-08-11;800.0;830.0;790.0;825.0
2020-08-12;770.0;795.0;750.0;795.0
2020-08-13;770.0;790.0;770.0;770.0
2020-08-14;785.0;805.0;775.0;780.0
2020-08-18;805.0;820.0;795.0;800.0
2020-08-19;795.0;815.0;795.0;810.0
2020-08-24;780.0;805.0;775.0;805.0
2020-08-25;790.0;795.0;775.0;780.0
2020-08-26;785.0;800.0;780.0;790.0
2020-08-27;795.0;805.0;785.0;790.0
2020-08-28;820.0;830.0;790.0;800.0
2020-08-31;820.0;855.0;810.0;830.0
2020-09-01;840.0;840.0;815.0;820.0
2020-09-02;850.0;855.0;830.0;840.0
2020-09-03;830.0;855.0;825.0;850.0
2020-09-04;825.0;830.0;800.0;820.0
2020-09-07;825.0;830.0;810.0;825.0
2020-09-08;825.0;840.0;820.0;825.0
2020-09-09;795.0;810.0;780.0;810.0
2020-09-10;740.0;790.0;740.0;785.0
2020-09-11;775.0;780.0;700.0;710.0
2020-09-14;800.0;805.0;780.0;780.0
2020-09-15;805.0;820.0;785.0;810.0
2020-09-16;795.0;810.0;785.0;805.0
2020-09-17;775.0;805.0;765.0;805.0
2020-09-18;790.0;795.0;775.0;780.0
2020-09-21;765.0;790.0;760.0;785.0
2020-09-22;735.0;755.0;725.0;750.0
2020-09-23;750.0;780.0;735.0;755.0
2020-09-24;720.0;750.0;705.0;750.0
2020-09-25;730.0;735.0;715.0;735.0
2020-09-28;725.0;740.0;715.0;730.0
2020-09-29;715.0;740.0;715.0;735.0
2020-09-30;705.0;730.0;695.0;720.0
2020-10-01;735.0;740.0;710.0;710.0
2020-10-02;725.0;735.0;705.0;735.0
2020-10-05;720.0;735.0;715.0;735.0
2020-10-06;720.0;735.0;715.0;730.0
2020-10-07;715.0;720.0;710.0;715.0
2020-10-08;720.0;730.0;715.0;720.0
2020-10-09;765.0;775.0;725.0;730.0
2020-10-12;780.0;790.0;765.0;780.0
2020-10-13;765.0;780.0;760.0;780.0
2020-10-14;955.0;955.0;775.0;775.0
2020-10-15;935.0;1180.0;920.0;1020.0
2020-10-16;940.0;995.0;920.0;960.0
2020-10-19;1055.0;1055.0;950.0;970.0
2020-10-20;1035.0;1065.0;1020.0;1055.0
2020-10-21;1100.0;1145.0;1050.0;1050.0
2020-10-22;1085.0;1120.0;1075.0;1100.0
2020-10-23;1085.0;1120.0;1060.0;1095.0
2020-10-26;1060.0;1095.0;1060.0;1090.0
2020-10-27;1055.0;1095.0;1050.0;1050.0
2020-11-02;1100.0;1125.0;1055.0;1065.0
2020-11-03;1110.0;1130.0;1105.0;1115.0
2020-11-04;1105.0;1145.0;1100.0;1125.0
2020-11-05;1125.0;1145.0;1115.0;1130.0
2020-11-06;1125.0;1140.0;1115.0;1140.0
2020-11-09;1240.0;1245.0;1135.0;1140.0
2020-11-10;1200.0;1255.0;1195.0;1250.0
2020-11-11;1195.0;1240.0;1185.0;1210.0
2020-11-12;1170.0;1205.0;1165.0;1190.0
2020-11-13;1170.0;1180.0;1155.0;1160.0
2020-11-16;1185.0;1210.0;1180.0;1200.0
2020-11-17;1190.0;1215.0;1175.0;1185.0
2020-11-18;1240.0;1280.0;1215.0;1220.0
2020-11-19;1235.0;1245.0;1220.0;1240.0
2020-11-20;1210.0;1240.0;1200.0;1235.0
2020-11-23;1255.0;1255.0;1215.0;1225.0
